keywords,segments,visit count
"['نتایج زنده', 'نتایج', 'زنده']",['maleSegment'],689
"['نتایج زنده', 'نتایج', 'زنده']",['maleSegment'],390
"['مبارک', 'باشه']",['maleSegment'],202
"['فرنگی', 'خوشمزه', 'مخصوص', 'طرز']",['femaleSegment'],249
"['نتایج زنده', 'نتایج', 'زنده']",['maleSegment'],808
"['جهان', 'لحظه']","['mazhabi', 'maleSegment']",879
['پسر'],['femaleSegment'],131
"['چای', 'سبز', 'خواص']",['femaleSegment'],606
"['موزیک ویدیو', 'دانلود موزیک', 'صدا', 'تاپ']","['femaleSegment', 'khanevadehvakhanedari']",930
"['نتایج زنده', 'نتایج', 'زنده']","['maleSegment', 'varzeshi']",214
"['ناب', 'مسیح', 'آرش', 'نداریم', 'چشم']",['mohajerat'],14
"['امید', 'جهان', 'آهنگ']",['femaleSegment'],937
"['آبادیس', 'آبادیس معنی', 'آبادیس آبادیس', 'آنلاین آبادیس', 'دیکشنری آنلاین']",['femaleSegment'],372
"['صفحه اخبار', 'صفحه', 'اخبار']",['sarmayegozari'],118
"['وحشتناک', 'اهنگ']",['femaleSegment'],256
"['لوازم', 'قیمت']",['femaleSegment'],925
"['سنجش', 'ارشد']",['femaleSegment'],168
"['صفحه اخبار', 'صفحه', 'اخبار']",['maleSegment'],911
"['آبادیس', 'رفتن', 'معنی']",['femaleSegment'],350
"['شیرینی', 'خوشمزه']",['maleSegment'],624
"['نوت', 'شیائومی']",['maleSegment'],819
"['تصاویر', 'عکس']",['femaleSegment'],48
"['نان', 'قیمت', 'افزایش قیمت']","['maleSegment', 'varzeshi']",515
"['تالاب', 'زناشویی']",['maleSegment'],863
['نوت'],['maleSegment'],142
"['مرحله', 'جواب', 'پاسخ', 'بازی']",['femaleSegment'],835
"['گناه', 'بهرام', 'رضا', 'عشق', 'آهنگ رضا']",['femaleSegment'],567
"['رمان', 'خط']",['femaleSegment'],470
"['نتایج زنده', 'نتایج', 'زنده']",['maleSegment'],126
"['کیفیت اصلی', 'اصلی', 'دنیا', 'کیفیت']",['femaleSegment'],23
"['مای', 'فیلم دوبله', 'فیلم', 'دوبله فارسی', 'دوبله']",['femaleSegment'],661
"['صفحه اخبار', 'صفحه', 'اخبار']",['maleSegment'],304
"['رضایی', 'رئیسی', 'تبریک']",['maleSegment'],263
"['بچه', 'صبا', 'وحشتناک', 'ترس', 'صدای']",['femaleSegment'],110
"['قلب', 'هفته', 'روز']",['femaleSegment'],188
"['آهنگ', 'ریمیکس']",['femaleSegment'],880
"['نتایج زنده', 'نتایج', 'زنده']",['maleSegment'],213
"['نتایج زنده', 'نتایج', 'زنده']",['maleSegment'],453
['شیائومی'],['maleSegment'],767
"['نکن', 'تتلو', 'امیر', 'آهنگ امیر', 'آهنگ']",['femaleSegment'],424
"['ماشین', 'جنگل', 'کودکانه', 'جاده']",['maleSegment'],204
['ویدئو'],['femaleSegment'],66
"['لیگ برتر', 'برتر', 'لیگ']",['maleSegment'],593
"['نتایج زنده', 'نتایج', 'زنده']",['maleSegment'],405
"['رشت', 'برا', 'زندگی']",['femaleSegment'],431
"['رضایی', 'رئیسی', 'تبریک']",['maleSegment'],576
"['حافظ', 'قرآن', 'آنلاین', 'ایران']",['sarmayegozari'],760
"['شیک', 'العاده']",['femaleSegment'],666
"['قوی', 'زیبا', 'لاکچری']",['femaleSegment'],158
"['نتایج زنده', 'نتایج', 'زنده']",['maleSegment'],299
"['نتایج زنده', 'نتایج', 'زنده']",['maleSegment'],910
"['نتایج زنده', 'نتایج', 'زنده']",['maleSegment'],231
"['سلفی', 'داعش', 'سوریه', 'عراق']","['zibaievamode', 'maleSegment', 'khanevadehvakhanedari', 'salamat']",33
"['حامد', 'دارید', 'شهر', 'مردم', 'آپ']",['salamat'],502
"['ریمیکس', 'اهنگ']",['femaleSegment'],785
"['آهنگ شاد', 'شاد', 'عروسی']",['maleSegment'],101
"['نتایج زنده', 'نتایج', 'زنده']",['maleSegment'],323
"['نتایج زنده', 'نتایج', 'زنده']",['maleSegment'],41
"['نتایج زنده', 'نتایج', 'زنده']",['maleSegment'],329
"['نتایج زنده', 'نتایج', 'زنده']",['maleSegment'],766
"['سنجش', 'ارشد']",['femaleSegment'],447
"['نتایج زنده', 'نتایج', 'زنده']",['maleSegment'],231
"['نتایج زنده', 'نتایج', 'زنده']",['maleSegment'],554
"['نتایج زنده', 'نتایج', 'زنده']","['maleSegment', 'varzeshi']",370
"['طولانی', 'ریمیکس']",['maleSegment'],660
"['لیگ برتر', 'برتر', 'لیگ']",['maleSegment'],972
"['نتایج زنده', 'نتایج', 'زنده']",['maleSegment'],826
"['مبارک', 'باشه']",['maleSegment'],146
"['دوران', 'بارداری', 'درمان']",['femaleSegment'],976
"['ابزار', 'قیمت']",['femaleSegment'],492
"['تلگرام', 'برتر', 'کوتاه']",['maleSegment'],523
"['شیرازی', 'حسن', 'دانلود مداحی', 'مداحی']","['sarmayegozari', 'salamat']",50
"['آزادی', 'دل', 'ترانه']","['maleSegment', 'zibaievamode', 'salamat']",328
"['دانلود', 'دانلود آهنگ', 'آهنگ', 'تکست', 'الان', 'دانلود اهنگ']",['femaleSegment'],320
['بابک'],['femaleSegment'],124
"['نتایج زنده', 'نتایج', 'زنده']","['maleSegment', 'khanevadehvakhanedari']",518
"['نتایج زنده', 'نتایج', 'زنده']",['maleSegment'],399
"['تیر', 'حافظ', 'فال']",['femaleSegment'],665
"['اس', 'تولد']",['femaleSegment'],630
"['آهنگ', 'متن آهنگ', 'متن', 'کیفیت متن']",['mohajerat'],443
['پروفایل'],['femaleSegment'],909
"['نتایج زنده', 'نتایج', 'زنده']","['konkoor', 'maleSegment']",709
"['جهانی', 'مهدی', 'آهنگ']",['femaleSegment'],949
"['آهنگ شاد', 'جاده', 'شاد', 'دریا']",['femaleSegment'],191
"['مسعود', 'اورجینال']",['femaleSegment'],261
['پسر'],['femaleSegment'],701
"['کلیپ', 'استوری', 'واتساپ']",['javan'],563
"['قوی', 'عکس نوشته', 'نوشته']",['femaleSegment'],65
"['پریود', 'ویدئو', 'تاثیر']",['femaleSegment'],724
"['ریمیکس', 'شاد', 'دانلود ریمیکس', 'آهنگ شاد']",['maleSegment'],17
"['صفحه اخبار', 'صفحه', 'اخبار']","['maleSegment', 'salamat']",883
"['اقتصاد نیوز', 'محققان', 'گویند', 'پیشگیری', 'خواص']",['femaleSegment'],181
"['حامد', 'دارید', 'شهر', 'مردم', 'آپ']",['salamat'],175
"['برم', 'نامزد', 'صوتی']",['femaleSegment'],69
"['نتایج زنده', 'نتایج', 'زنده']",['maleSegment'],957
"['نتایج زنده', 'نتایج', 'زنده']",['maleSegment'],721
"['نرم', 'اکثر', 'نرم افزار', 'افزار']",['maleSegment'],324
"['لیگ برتر', 'برتر', 'لیگ']","['maleSegment', 'varzeshi']",256
"['نتایج زنده', 'نتایج', 'زنده']",['maleSegment'],965
"['اس', 'تولد']",['femaleSegment'],101
"['جم', 'همراه متن']","['mazhabi', 'maleSegment', 'varzeshi']",287
"['نتایج زنده', 'نتایج', 'زنده']",['maleSegment'],819
"['نتایج زنده', 'نتایج', 'زنده']",['maleSegment'],259
"['نتایج زنده', 'نتایج', 'زنده']","['maleSegment', 'varzeshi']",354
"['سایت ایمیل', 'ایمیل', 'سایت', 'نی']",['femaleSegment'],51
"['نتایج زنده', 'نتایج', 'زنده']",['maleSegment'],118
"['لوازم', 'قیمت']",['femaleSegment'],966
"['آهنگهای', 'غمگین', 'شاد']",['femaleSegment'],100
"['صفحه اخبار', 'صفحه', 'اخبار']",['sarmayegozari'],703
"['قیمت', 'قیمت روز', 'لیست', 'بازار']",['femaleSegment'],705
['رنگ'],['femaleSegment'],673
"['نتایج زنده', 'نتایج', 'زنده']",['maleSegment'],813
"['نتایج زنده', 'نتایج', 'زنده']",['maleSegment'],309
"['شیرازی', 'حسن', 'آپ', 'آرشیو']","['sarmayegozari', 'salamat']",119
"['شیک', 'العاده']",['femaleSegment'],620
"['نتایج زنده', 'نتایج', 'زنده']",['maleSegment'],278
"['آهنگ شاد', 'شاد', 'عروسی']",['maleSegment'],837
"['نتایج زنده', 'نتایج', 'زنده']","['mohajerat', 'maleSegment', 'salamat']",185
['بابک'],['femaleSegment'],109
"['سوریه', 'داعش']","['zibaievamode', 'maleSegment', 'khanevadehvakhanedari', 'salamat']",556
"['حسابداری', 'رادیو', 'تومانی', 'جواب', 'خرید']",['femaleSegment'],645
"['نتایج زنده', 'نتایج', 'زنده']",['maleSegment'],947
"['نتایج زنده', 'نتایج', 'زنده']",['maleSegment'],253
"['نتایج زنده', 'نتایج', 'زنده']",['maleSegment'],413
"['روز', 'بارداری', 'پریود']",['femaleSegment'],966
"['ابراهیم', 'محسن', 'آهنگ محسن']","['zibaievamode', 'salamat', 'laghari']",574
['رنگ'],['femaleSegment'],671
"['نتایج زنده', 'نتایج', 'زنده']",['maleSegment'],997
"['کودکانه', 'نقاشی', 'قسمت']",['femaleSegment'],379
"['بهرام', 'کاش', 'رضا', 'آهنگ رضا']",['femaleSegment'],104
"['لب', 'طوری', 'زناشویی']","['javan', 'femaleSegment', 'moosighi']",404
"['نتایج زنده', 'نتایج', 'زنده']",['maleSegment'],52
"['نتایج زنده', 'نتایج', 'زنده']",['maleSegment'],904
"['شگفت انگیز', 'شگفت', 'دریا', 'انگیز', 'زیبا']",['femaleSegment'],709
"['غمگین', 'آهنگ غمگین', 'پرطرفدار', 'ترکیه']","['sarmayegozari', 'konkoor']",319
"['نتایج زنده', 'نتایج', 'زنده']",['maleSegment'],440
['پسر'],['femaleSegment'],3
"['محسن', 'آهنگ', 'دانلود']",['maleSegment'],451
"['شکم', 'بند', 'روز']",['femaleSegment'],416
"['نتایج زنده', 'فوتبال', 'نتایج', 'زنده']",['maleSegment'],128
"['صفحه اخبار', 'صفحه', 'اخبار']",['maleSegment'],112
"['مال', 'امیر', 'دلم']",['femaleSegment'],630
"['تبریک', 'اس', 'قدم', 'نو', 'نوزاد']",['maleSegment'],82
"['نتایج زنده', 'نتایج', 'زنده']","['maleSegment', 'varzeshi']",154
['خواص'],['femaleSegment'],808
"['نتایج زنده', 'نتایج', 'زنده']",['maleSegment'],61
"['øªø', 'ùˆø', 'øªù', 'ø²']",['femaleSegment'],47
"['صفحه اخبار', 'صفحه', 'اخبار']",['maleSegment'],458
"['نتایج زنده', 'نتایج', 'زنده']",['maleSegment'],918
"['جم', 'همراه متن']","['mazhabi', 'maleSegment', 'varzeshi']",948
"['نتایج زنده', 'نتایج', 'زنده']",['maleSegment'],847
['رنگ'],['femaleSegment'],87
"['تست', 'آنلاین']",['femaleSegment'],540
"['نتایج زنده', 'نتایج', 'زنده']",['maleSegment'],889
"['شاد', 'رقص', 'محلی', 'آهنگ', 'عروسی']","['javan', 'femaleSegment', 'moosighi']",802
"['نتایج زنده', 'نتایج', 'زنده']","['sarmayegozari', 'maleSegment']",845
['پسر'],['femaleSegment'],128
"['مرغ', 'مرحله']",['femaleSegment'],425
"['یوسف', 'زمانی', 'دلم', 'شهر']",['femaleSegment'],952
['انیمیشن'],"['javan', 'femaleSegment', 'moosighi']",478
"['کوتاه', 'کوتاه لینک', 'کسب درآمد', 'درآمد', 'کسب']","['femaleSegment', 'filmocinema']",226
"['نتایج زنده', 'نتایج', 'زنده']",['maleSegment'],282
"['نتایج زنده', 'نتایج', 'زنده']","['maleSegment', 'zibaievamode']",460
"['پریود', 'ویدئو', 'تاثیر']",['femaleSegment'],544
"['صفحه اخبار', 'صفحه', 'اخبار']","['maleSegment', 'salamat']",757
['پروفایل'],['femaleSegment'],253
"['سلفی', 'داعش', 'سوریه', 'عراق']","['zibaievamode', 'maleSegment', 'khanevadehvakhanedari', 'salamat']",642
"['نتایج زنده', 'نتایج', 'زنده']",['maleSegment'],37
"['اقتصاد نیوز', 'محققان', 'گویند', 'پیشگیری', 'خواص']",['femaleSegment'],274
"['نتایج زنده', 'نتایج', 'زنده']",['maleSegment'],268
"['تالاب', 'زناشویی']",['maleSegment'],368
"['نتایج زنده', 'نتایج', 'زنده']",['maleSegment'],399
"['صفحه اخبار', 'صفحه', 'اخبار']",['maleSegment'],37
"['سایت ایمیل', 'ایمیل', 'سایت', 'نی']",['femaleSegment'],535
"['قلعه', 'استقلال', 'نگه']",['maleSegment'],355
"['نتایج زنده', 'نتایج', 'زنده']",['maleSegment'],53
"['نوت', 'شیائومی']",['maleSegment'],552
"['نتایج زنده', 'نتایج', 'زنده']",['maleSegment'],327
"['نتایج زنده', 'نتایج', 'زنده']",['maleSegment'],81
"['نرم', 'فایل', 'آنلاین', 'متن']",['maleSegment'],224
"['نتایج زنده', 'نتایج', 'زنده']",['maleSegment'],513
"['طالع', 'بینی', 'فال']",['femaleSegment'],105
"['نتایج زنده', 'نتایج', 'زنده']","['maleSegment', 'khanevadehvakhanedari']",23
"['نتایج زنده', 'نتایج', 'زنده']",['maleSegment'],558
"['رمان', 'ساده']","['sarmayegozari', 'femaleSegment']",481
"['نتایج زنده', 'نتایج', 'زنده']",['maleSegment'],195
"['نتایج زنده', 'نتایج', 'زنده']",['maleSegment'],942
"['نتایج زنده', 'نتایج', 'زنده']","['sarmayegozari', 'maleSegment']",719
"['نتایج زنده', 'نتایج', 'زنده']",['maleSegment'],615
"['رمان', 'طنز']","['sarmayegozari', 'femaleSegment']",422
"['آهنگ', 'احساس']","['mohajerat', 'femaleSegment']",251
"['میوه', 'خشک', 'جلوگیری', 'خون']",['maleSegment'],941
"['فرزاد', 'کردی', 'آهنگ']","['zibaievamode', 'femaleSegment', 'salamat']",365
"['سامانه', 'لینک', 'آموزش']",['femaleSegment'],841
['مو'],['femaleSegment'],968
"['مال', 'امیر', 'دلم']",['femaleSegment'],353
['رنگ'],['femaleSegment'],927
"['نتایج زنده', 'نتایج', 'زنده']",['maleSegment'],836
"['سلفی', 'داعش', 'سوریه', 'عراق']","['zibaievamode', 'maleSegment', 'khanevadehvakhanedari', 'salamat']",597
"['نتایج زنده', 'نتایج', 'زنده']",['maleSegment'],16
"['تسلیت', 'پدر', 'پیام', 'رسمی']",['maleSegment'],554
"['سریال', 'دانلود سریال']",['femaleSegment'],353
['حامد'],['maleSegment'],551
"['روزگار', 'علیرضا', 'دانلود آهنگ', 'آهنگ']",['femaleSegment'],819
"['نوت', 'شیائومی']",['maleSegment'],637
"['مرغ', 'مرحله']",['femaleSegment'],352
"['فا', 'پرشین', 'موسیقی']","['mohajerat', 'femaleSegment']",272
"['نتایج زنده', 'نتایج', 'زنده']",['maleSegment'],969
"['محسن', 'آهنگ', 'دانلود']",['maleSegment'],499
"['بهار', 'وقت', 'قاسم', 'دانلود آهنگ', 'آهنگ']",['femaleSegment'],682
"['نتایج زنده', 'نتایج', 'زنده']","['maleSegment', 'varzeshi']",654
"['نتایج زنده', 'نتایج', 'زنده']",['maleSegment'],623
"['نتایج زنده', 'نتایج', 'زنده']",['maleSegment'],182
['حامد'],['maleSegment'],114
['نان'],['femaleSegment'],812
"['نتایج زنده', 'نتایج', 'زنده']",['maleSegment'],651
"['یوسف', 'زمانی']",['femaleSegment'],317
"['جم', 'شمال']",['femaleSegment'],109
"['نتایج زنده', 'نتایج', 'زنده']",['maleSegment'],769
"['نتایج زنده', 'نتایج', 'زنده']",['maleSegment'],104
"['کیفیت اصلی', 'کشتی', 'پرو', 'اصلی']",['femaleSegment'],553
"['سایت ایمیل', 'ایمیل', 'سایت', 'نی']",['femaleSegment'],541
['بیا'],['femaleSegment'],71
"['تولدت مبارک', 'تولدت', 'اس', 'دوست', 'مبارک']",['femaleSegment'],752
"['زیرنویس چسبیده', 'فیلم', 'چسبیده', 'رایگان فیلم']","['sarmayegozari', 'laghari', 'zibaievamode', 'khanevadehvakhanedari', 'salamat']",307
"['نتایج زنده', 'نتایج', 'زنده']",['maleSegment'],443
"['منزل', 'تصویری', 'آموزش']",['maleSegment'],56
"['کمدی', 'ژانر']","['sarmayegozari', 'laghari', 'zibaievamode', 'khanevadehvakhanedari', 'salamat']",630
"['نتایج زنده', 'نتایج', 'زنده']",['maleSegment'],730
"['تسلیت', 'پدر', 'خانم', 'اس']",['maleSegment'],857
['فال'],['femaleSegment'],937
"['خواهر', 'رابطه']",['femaleSegment'],938
"['نتایج زنده', 'نتایج', 'زنده']",['maleSegment'],952
"['کشور', 'کاربرد', 'متری', 'میلی', 'سلاح', 'گیرند', 'مختلفی']",['femaleSegment'],410
"['جم', 'اهنگ', 'روز', 'اورجینال']",['femaleSegment'],618
"['نتایج زنده', 'نتایج', 'زنده']",['maleSegment'],517
"['نتایج زنده', 'نتایج', 'زنده']",['laghari'],642
"['دانلود ریمیکس', 'ریمیکس']",['femaleSegment'],530
"['آهنگ', 'دانلود آهنگ', 'مرجع']","['mohajerat', 'femaleSegment']",801
"['جان', 'جهانی', 'مهدی']",['femaleSegment'],565
"['غذا', 'خوردن', 'جنین', 'دارید']","['koodakvanozad', 'femaleSegment']",567
"['نتایج زنده', 'نتایج', 'زنده']",['maleSegment'],43
"['فیلم خارجی', 'خارجی', 'فیلم', 'دانلود فیلم']","['sarmayegozari', 'laghari', 'zibaievamode', 'khanevadehvakhanedari', 'salamat']",802
"['عروسی', 'آهنگ شاد', 'شاد']",['femaleSegment'],571
"['نتایج زنده', 'نتایج', 'زنده']",['maleSegment'],451
"['صفحه اخبار', 'صفحه', 'اخبار']",['maleSegment'],767
"['سوریه', 'داعش']","['zibaievamode', 'maleSegment', 'khanevadehvakhanedari', 'salamat']",405
"['فرزاد', 'کردی']","['zibaievamode', 'femaleSegment', 'salamat']",513
['رنگ'],['femaleSegment'],37
"['جنسیت', 'بچه']",['femaleSegment'],194
"['جی', 'اندروید', 'فارسی']",['femaleSegment'],63
"['نتایج زنده', 'نتایج', 'زنده']",['maleSegment'],793
"['نوبت', 'پلاک', 'تعویض', 'اینترنتی', 'خودرو']",['maleSegment'],987
"['نتایج زنده', 'نتایج', 'زنده']",['maleSegment'],19
"['نتایج زنده', 'نتایج', 'زنده']","['maleSegment', 'varzeshi']",82
"['نتایج زنده', 'نتایج', 'زنده']",['maleSegment'],614
"['نتایج زنده', 'نتایج', 'زنده']","['maleSegment', 'technology']",840
"['øªø', 'ùˆø', 'øªù', 'ø²']",['femaleSegment'],374
"['نتایج زنده', 'نتایج', 'زنده']",['maleSegment'],395
"['فرنگی', 'خوشمزه', 'مخصوص', 'طرز']",['femaleSegment'],739
"['میوه', 'خشک', 'جلوگیری', 'خون']",['maleSegment'],271
"['سامانه', 'لینک', 'آموزش']",['femaleSegment'],981
['مو'],['femaleSegment'],481
